zip,premium,claim_freq_avg,claim_freq_peak,loss_ratio_peak,claim_severity_avg,nonrenewal
02190,1748.0,0.0458,0.0679,0.515,14933.0,0.0094
02191,1671.0,0.0516,0.08,0.446,15842.0,0.012
02215,2149.0,0.0436,0.0758,0.314,9664.0,0.0138
02301,2061.0,0.0569,0.0978,0.403,15506.0,0.0139
02302,1823.0,0.0539,0.0878,0.404,13354.0,0.0091
02322,1709.0,0.0524,0.0941,0.776,12694.0,0.0107
02324,1884.0,0.0481,0.0825,0.459,16665.0,0.0084
02330,1827.0,0.0616,0.1152,0.838,18889.0,0.0085
02332,3368.0,0.0673,0.0991,0.449,16909.0,0.0059
02333,1900.0,0.0484,0.086,0.556,14907.0,0.0105
02338,1863.0,0.0546,0.0939,0.848,20617.0,0.0118
02339,2293.0,0.0627,0.0848,0.484,13896.0,0.0093
02341,1874.0,0.0534,0.0835,0.992,17104.0,0.0131
02343,1608.0,0.0529,0.0914,0.635,14853.0,0.0092
02346,1834.0,0.0452,0.0798,0.492,17086.0,0.007
02347,2010.0,0.0481,0.0857,0.601,12329.0,0.0093
02351,1876.0,0.052,0.0817,0.446,13333.0,0.0087
02356,2156.0,0.054,0.1255,0.704,17088.0,0.0047
02359,2005.0,0.0572,0.0994,0.672,15337.0,0.0093
02360,2179.0,0.0477,0.0655,0.397,16560.0,0.0071
02364,2265.0,0.0577,0.1013,0.62,20252.0,0.0105
02367,2182.0,0.0602,0.1283,0.999,25341.0,0.0084
02368,1632.0,0.0542,0.085,0.584,13304.0,0.0118
02370,1827.0,0.0519,0.0866,0.418,14965.0,0.0128
02375,1938.0,0.0573,0.11,0.682,13401.0,0.0095
02379,1869.0,0.0425,0.0784,0.449,15814.0,0.008
02382,1826.0,0.0447,0.0712,0.349,12527.0,0.011
02420,2578.0,0.0432,0.0664,0.495,17385.0,0.011
02421,2424.0,0.039,0.0595,0.313,15555.0,0.0091
02445,4443.0,0.0444,0.0617,0.307,22998.0,0.0165
02446,3553.0,0.05,0.0635,0.327,16278.0,0.0178
02451,1675.0,0.0399,0.0529,0.358,13518.0,0.0116
02452,1846.0,0.038,0.0453,0.279,10404.0,0.01
02453,1728.0,0.0352,0.0443,0.337,13726.0,0.0121
02458,3189.0,0.0461,0.0607,0.463,20697.0,0.007
02459,3099.0,0.057,0.0771,0.505,21221.0,0.0122
02460,2557.0,0.0458,0.0609,0.317,13905.0,0.0107
02461,2353.0,0.0445,0.058,0.33,14836.0,0.0056
02462,2216.0,0.0502,0.083,0.665,16981.0,0.0168
02464,1990.0,0.0483,0.0653,0.509,12101.0,0.0075
02465,3031.0,0.0405,0.0571,0.394,21095.0,0.0075
02466,2421.0,0.043,0.0551,0.32,12169.0,0.0107
02467,3861.0,0.0492,0.0668,0.555,29365.0,0.0074
02468,3426.0,0.0562,0.0812,0.891,21422.0,0.0052
02472,1945.0,0.0397,0.052,0.354,12487.0,0.0102
02474,1881.0,0.0316,0.0399,0.302,14223.0,0.0075
02476,1972.0,0.0347,0.0481,0.404,17793.0,0.0071
02478,2439.0,0.0412,0.0562,0.402,14129.0,0.0076
02481,3880.0,0.0529,0.0664,0.379,18874.0,0.0075
02482,2956.0,0.0429,0.0657,0.368,15049.0,0.0077
02492,2700.0,0.0449,0.0639,0.412,17475.0,0.0057
02493,4645.0,0.0659,0.0861,0.485,30368.0,0.0105
02494,2226.0,0.0395,0.0539,0.248,12971.0,0.0065
02532,2511.0,0.0372,0.0583,0.37,23915.0,0.0084
02534,4534.0,0.0282,0.0571,0.261,30261.0,0.0
02535,14909.0,0.0363,0.0431,0.26,83348.0,0.0154
02536,2823.0,0.035,0.0584,0.319,17883.0,0.0061
02537,3160.0,0.0433,0.0578,0.507,24791.0,0.0063
02538,1701.0,0.0379,0.0556,0.361,11667.0,0.006
02539,10237.0,0.0262,0.0296,0.271,71886.0,0.0051
02540,5052.0,0.0384,0.0628,0.324,23552.0,0.011
02543,8152.0,0.0298,0.0459,0.25,27212.0,0.0255
02553,3448.0,0.0374,0.0673,0.107,5985.0,0.0103
02554,16084.0,0.0307,0.0435,0.17,43556.0,0.0016
02556,4142.0,0.0327,0.0521,0.192,17445.0,0.0042
02557,5316.0,0.0296,0.0498,0.412,28311.0,0.0088
02558,2186.0,0.0345,0.0604,0.381,11882.0,0.0236
02559,3216.0,0.026,0.0464,0.23,11051.0,0.0037
02561,2392.0,0.0355,0.0636,0.451,16000.0,0.0161
02562,2675.0,0.045,0.1135,0.513,15535.0,0.0045
02563,2639.0,0.0391,0.0583,0.625,19226.0,0.0038
02564,15191.0,0.0389,0.0645,0.448,33677.0,0.0064
02568,6942.0,0.0303,0.0411,0.423,34202.0,0.0062
02571,2230.0,0.0428,0.0666,0.437,15714.0,0.016
02575,7367.0,0.0203,0.0301,0.081,13819.0,0.0037
02576,1905.0,0.0499,0.1026,0.552,16004.0,0.0073
02601,2853.0,0.0371,0.0497,0.352,18357.0,0.0069
02630,3824.0,0.0467,0.0717,0.383,17797.0,0.0077
02631,3123.0,0.0271,0.0423,0.341,18305.0,0.0091
